Ф.И.О.;Укажите, пожалуйста, место Вашей работы.;К какой категории относится Ваша должность?;Почему Вы решили пройти обучение по данной программе?;"Насколько программа обучения полезна для Вашей работы? 
Оцените, пожалуйста, полезность программы по 10-балльной шкале, где 1 — программа совершенно бесполезна, 10 — программа очень полезна ";Прокомментируйте, пожалуйста, какие вопросы были для Вас наиболее актуальны и почему?;Какие знания, умения и навыки, полученные на программе, Вы сможете применить в своей деятельности?;Был ли достигнут ожидаемый эффект от обучения? ;Если нет, напишите, пожалуйста, почему? Если да, Вы можете поставить прочерк.;Какие темы и (или) вопросы можно исключить из данной программы без потери полезности?;Какими темами и (или) вопросами важно дополнить программу для усиления ее полезности и актуальности?;"Как Вы оцениваете практико-ориентированность программы? 
Оцените, пожалуйста, практическую часть по 10-балльной шкале, где 1 — были лекции, практики почти не было, 10 — практических заданий и (или) примеров было достаточно.";Достаточно ли практических заданий, примеров, разборов ситуаций? ;Если нет, какие темы и (или) вопросы требуют большей практической отработки? Если да, Вы можете поставить прочерк.;Что бы Вы хотели изменить в организации практических занятий, чтобы они стали полезными для Вашей деятельности?;"Насколько Вы оцениваете доступность материала программы обучения?
Оцените, пожалуйста, доступность материала программы по 10-балльной шкале, где 1 — я с трудом понял (поняла), о чем идет речь; 10 — материал был предельно доступным и понятным.";Сохраняется ли правильная последовательность тем и логика изложения материала?; Если нет, напишите, пожалуйста, в чем это заключается. Если да, Вы можете поставить прочерк.;Могли ли Вы на занятии задать интересующие Вас вопросы по изучаемой теме и получить исчерпывающие ответы?;Если нет, напишите, пожалуйста, подробнее. Если да, Вы можете поставить прочерк.;Чувствовали ли Вы свою отстраненность от процесса, потерю интереса во время обучения? ;Если да, в какие моменты обучения они возникали? Если нет, Вы можете поставить прочерк.;Что могло бы повысить Вашу вовлеченность в обучение?;Если бы у Вас была возможность выбрать формат обучения по данной программе, какой бы Вы предпочли? ;"Насколько эффективным было взаимодействие с командой Корпоративного университета на протяжении всего периода обучения?
Оцените, пожалуйста, взаимодействие по 10 — балльной шкале, где 1 — взаимодействие было неэффективным, 10 — это была отличная командная работа на результат!";Прокомментируйте, пожалуйста, Ваш выбор.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Для внедрения знаний в работе;8;Все вопросы актуальны;Все;нет;хотелось бы узнать больше про ии-агентов;распознавание отличий фото от ии;ии-агенты;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;современно, интересно;10;-;абсолютно все;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Интересно;8;-;Формирование корректного промта;да;-;Ничего исключать не надо;Не знаю;8;да;-;Чтоб они не занимали весь рабочий день, с 10 до 17 максимально неудобно;8;да;-;да;-;нет;-;И так достаточно вовлечен;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;повысить компетенции;10;создание презентации и картинок;создание презентации и картинок;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;Отличный преподаватель и отличный куратор курса, которые сопровождали на протяжении всего обучения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Расширение компетенций для дальнейшего применения в профессиональной деятельности;9;Инструменты и способы применения ИИ;Практические навыки;да;-;-;-;9;да;-;-;9;да;-;да;-;да;-;-;смешанное обучение: частично очно, частично дистанционно;10;Приятный и вежливый куратор и спикеры;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;хочу оптимизировать рабочий процесс;7;ии презентации , промтинг;ии презентации , промтинг;да;все норм;исторический экскурс;практика как можно больше;5;нет;все;больше прикладных тем;7;да;все норм;да;все норм;нет;все норм;все норм;очное обучение в аудиториях Корпоративного университета;9;все норм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;программа повышения квалификации;10;все, очень интересно;практически все;да;спасибо за хорошее обучение;все актуально;все актуально;10;да;-;-;10;да;-;да;-;нет;-;-;полностью дистанционный формат обучения;10;все супер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;обеспечивающий специалист;Получить актуальные навыки работы с ИИ;7;Все вопросы актуальны;Поиск информации, аналитика с ИИ, подготовка документов и презентаций;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;надо;10;редактируемость итогов;все знания применяю;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;кофе бесплатный. меньше обучающихся;очное обучение в аудиториях Корпоративного университета;10;всё хорошо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Хочу применять результаты в работе;10;Нормативно правовая база;Все;да;-;Никакие, так как у всех разный уровень знаний;-;10;да;-;-;10;да;-;да;-;нет;-;-;полностью дистанционный формат обучения;10;Как всегда всё прекрасно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Для внедрения ИИ в своей работе;10;Прикладное использование ИИ;Создание презентаций и изображений;да;-;-;Использование ИИ агентов;10;да;-;-;10;да;-;да;-;нет;-;все классно;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;ИИ набирает обороты. Необходимость актуальных знаний новых технологий в работе.;10;Обучение работе с ИИ;Работа с ИИ, создание презентаций, планов, писем.;да;-;-;-;10;да;-;все хорошо;10;да;-;да;-;нет;-;все хорошо;очное обучение в аудиториях Корпоративного университета;10;Актуальность темы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;Саморазвитие;10;Умение работать с ИИ;Все полезны и применяемы;да;;Ничего не исключать;Работа с телефоном и ИИ;10;да;;;10;да;;да;;нет;;;очное обучение в аудиториях Корпоративного университета;10;Прекрасная программа!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;Работа по данному направлению;10;Генерация презентаций, создание видео и фото;Генерация презентаций, создание видео и фото;да;-;-;-;9;да;Темы видео, жаль что нет в открытом доступе доступных ИИ по генерации видео качественных по своему наполнению;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;Куратор отлично решала все необходимые вопросы. Преподы профи.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;обучение данной программе мне необходимо в создании презентации, проектов;10;вопросы работы с текстовыми и презентационными нейросетями были наиболее актуальны, а так изучение всех видов нейросетей актуально в современности;работа с текстовыми нейросетями;да;отсутствуют;все темы актуальны;пожеланий нет, всем довольна, спасибо разработчикам и лекторам программы;10;да;отсутствуют;отсутствуют;10;да;отсутствуют;да;отсутствуют;нет;отсутствуют;отсутствуют;смешанное обучение: частично очно, частично дистанционно;10;Программа очень интересная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;для внедрения ИИ в свою работу;10;знакомство с разными нейронками, работа с текстовыми и графическими ИИ;обрабатывать тексты и готовить презентации;да;-;таких нет;больше практической работы в разных нейросетях;10;нет;работа с графическими и презентационными сетями;замечаний нет;10;да;-;да;-;нет;-;доступность разных нейросетей;смешанное обучение: частично очно, частично дистанционно;10;это была отличная командная работа на результат;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Повсеместное распространение ИИ;10;Создание промтов;Презентации;да;-;Нормативная база;затрудняюсь ответить;10;да;-;ничего;10;да;-;да;-;нет;-;затрудняюсь ответить;смешанное обучение: частично очно, частично дистанционно;10;Очень доходчивая подача материала;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;освоение новых компетенций;10;в общем и целом курс был полезен и обязательно найдет применение в работе;работа с нейросетями (текстом, изображением, презентациями);да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;очное обучение в аудиториях Корпоративного университета;10;спасибо за курс, спасибо коллективу Корпуса и преподавателям!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;очень интересно;10;Концепция;Абсолютно все;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;очное обучение в аудиториях Корпоративного университета;10;Очень рада что попала на Ваш курс;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Интересная актуальная тема. Нужно идти в ногу со временем.;10;Создание презентаций. Создание правильного промта.;Создание презентаций поможет проводить мероприятия. А умение написать правильный промт - ускорение работы;да;-;все темы важны;Всё раскрыто;10;да;-;ничего не изменять;10;да;-;да;-;нет;-;практические задания;очное обучение в аудиториях Корпоративного университета;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;изучение новых технологий;8;работа с текстовыми файлами при помощи ИИ;практически все;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Научиться применять технологии ИИ на гос службе;10;какие нейросети использовать в работе;составление презентаций, запросов;да;-;все полезно;затрудняюсь ответить, тем достаточно;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;очень понравились спикеры;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Повысить свой профессиональный рост;10;Все вопросы были важны и актуальны;Ответы на запросы и письма;да;-;Все вопросы важны;Всего достаточно;10;да;-;Ничего менять не нужно;10;да;-;да;-;нет;-;Уровень преподавателя;очное обучение в аудиториях Корпоративного университета;10;Все прошло на высшем уровне!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;Знание-сила;10;все вопросы;большинство;да;-;все полезны;достаточно по объему;10;да;-;-;10;да;-;да;-;нет;-;все хорошо;очное обучение в аудиториях Корпоративного университета;10;все пригодилось;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Высокая актуальность тематики;10;Работа в ИИ с картинками, видео и презентациями;Работа в ИИ с картинками, видео и презентациями, создание в текстовых ИИ промптов для других ИИ;да;-;-;-;10;да;-;Возможно, добавить доп. задания в практической части для тех, кто быстро справляется;10;да;-;да;-;нет;-;На практике иногда было такое, что быстро выполнил задачу и долго ждешь, пока проверят остальных. Можно либо добавить доп. задания, либо ускорить проверку, дав помощников предподавателю;очное обучение в аудиториях Корпоративного университета;10;Все понравилось :);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Для понимания контекста, для анализы данных, для помощи в решении задач.;10;Работа с текстом;сокращение времени работы по обработке обращений;да;-;-;-;10;да;-;-;10;да;-;да;-;нет;-;Больше времени на обучение (практически);очное обучение в аудиториях Корпоративного университета;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;Получение дополнительных знаний по ИИ;4;Работа с промтами;Все;да;-;-;-;5;да;-;-;6;да;-;да;-;да;-;-;смешанное обучение: частично очно, частично дистанционно;6;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;совершенствование профессиональных навыков;10;работа с текстовыми нейросетями и все остальные вопросы - тоже;абсолютно все. Спасибо, очень своевременное обучение актуальным инструментам, облегчающим рутинную работу и добавляющим креатива;да;преодолен психологический барьер в использовании ИИ, расширено представление о возможностях ИИ;все нужны;пока достаточно;10;да;пока нет;степень полезности была максимальна;10;да;все было структурировано в понятной логике;да;-;нет;-;-;очное обучение в аудиториях Корпоративного университета;10;Работа с КУ всегда максимально комфортна и содержательна. Спасибо за подборку важных и актуальных тем обучения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Интересна тема ИИ.;10;Работа с видео ИИ.;Работа с презентациями и видео ИИ.;да;-;-;-;10;да;-;-;6;да;-;да;-;да;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;для повышения личной эффективности;9;все;все;да;-;-;-;9;да;-;-;9;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;9;все ок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;личностный рост;10;список нейросетей;все;да;-;-;-;10;да;-;-;10;да;-;да;-;да;-;-;смешанное обучение: частично очно, частично дистанционно;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Интересна тема;3;Никакие;нового ничего;нет;Не было ничего нового;затрудняюсь с ответом;применение ИИ именно на госслужбе;4;да;-;-;10;да;-;да;-;да;-;Новая информация или более продвинутый уровень;очное обучение в аудиториях Корпоративного университета;10;все было на хорошем уровне;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
